,Compound,Date,Negative,Neutral,Positive,Source Account,Tweet Text,Tweets Ago
0,0.5719,Thu Jun 14 19:32:00 +0000 2018,0.837,0.0,0.163,@BBC,"We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Kate… https://t.co/VbnExFqEI1",1
1,-0.0258,Thu Jun 14 19:03:07 +0000 2018,0.948,0.052,0.0,@BBC,Anne Robinson meets women from across the UK to find out - 100 years on from suffrage - what's still preventing the… https://t.co/0Vkrm7bFz6,2
2,0.4588,Thu Jun 14 18:00:25 +0000 2018,0.833,0.0,0.167,@BBC,"'I'm glad you're in my life.'

💕 How dementia has brought together a 71-year-old and an 18-year-old. https://t.co/5yTs9XYxEj",3
3,0.2263,Thu Jun 14 16:00:21 +0000 2018,0.863,0.0,0.137,@BBC,"😂🦈  If you haven't seen @AlanDavies1's shark impression, you haven't lived. 
#QI https://t.co/LdUwTLxRps",4
4,-0.2023,Thu Jun 14 15:13:23 +0000 2018,0.699,0.165,0.136,@BBC,💚 Hundreds of people have taken part in a silent procession in honour of the 72 people killed in the Grenfell Tower… https://t.co/uBVXW3wwgs,5
5,-0.0258,Thu Jun 14 13:10:42 +0000 2018,0.642,0.155,0.203,@BBC,"RT @bbcthree: This is what painful sex feels like. #HearHer 

(you'll want sound on) https://t.co/NyMtT7wFK4",6
6,0.541,Thu Jun 14 13:01:07 +0000 2018,0.845,0.0,0.155,@BBC,"""We gave him some food so hopefully he'll be back"": this fox climbed onto a London roof to sunbathe. 🦊😎… https://t.co/l9mI0SMSbA",7
7,0.3774,Thu Jun 14 12:24:25 +0000 2018,0.681,0.088,0.231,@BBC,😂⚽️ There's no official England #WorldCup song so we're backing our friends at @CBeebiesHQ who want to make this th… https://t.co/T4RLt9VxUl,8
8,-0.34,Thu Jun 14 12:11:30 +0000 2018,0.902,0.098,0.0,@BBC,"RT @BBCNews: Grenfell Tower, and 12 other London buildings, illuminated green to mark one year since the fire that claimed 72 lives 

A nat…",9
9,0.4753,Thu Jun 14 12:01:05 +0000 2018,0.808,0.0,0.192,@BBC,❤️🐶 From stray dog to downward facing dog.... Amaloh is one lucky pooch! https://t.co/980DE0YdmS,10
10,0.6124,Thu Jun 14 11:00:18 +0000 2018,0.597,0.138,0.264,@BBC,"😍🐐 'Love is evil – it will make you fall in love with a goat.'

12 Russian proverbs to get you through the… https://t.co/UoHrrXNBIg",11
11,0.0,Thu Jun 14 08:01:02 +0000 2018,1.0,0.0,0.0,@BBC,📚 These Belgian students are revising for exams with monks at a monastery.  https://t.co/JKkUt9hSuA,12
